TRLN,RATE,NBPS,REPL,GTEE,KEEP,MTHD,STEE
2M,1e-06,0,6,"[20,50)",1000,svdquartets,0.043478
2M,1e-06,0,6,"[20,50)",750,astral,0.0
2M,1e-06,0,6,"[20,50)",750,astrid,0.0
2M,1e-06,0,6,"[20,50)",750,mpest,0.0
2M,1e-06,0,6,"[20,50)",750,caml,0.0
2M,1e-06,0,6,"[20,50)",750,svdquartets,0.043478
2M,1e-06,0,6,"[20,50)",500,astral,0.0
2M,1e-06,0,6,"[20,50)",500,astrid,0.0
2M,1e-06,0,6,"[20,50)",500,mpest,0.0
2M,1e-06,0,6,"[20,50)",500,caml,0.0
2M,1e-06,0,6,"[20,50)",500,svdquartets,0.0
2M,1e-06,0,6,"[20,50)",250,astral,0.043478
2M,1e-06,0,6,"[20,50)",250,astrid,0.043478
2M,1e-06,0,6,"[20,50)",250,mpest,0.043478
2M,1e-06,0,6,"[20,50)",250,caml,0.0
2M,1e-06,0,6,"[20,50)",250,svdquartets,0.0
2M,1e-06,0,6,"[20,50)",100,astral,0.0
2M,1e-06,0,6,"[20,50)",100,astrid,0.043478
2M,1e-06,0,6,"[20,50)",100,mpest,0.043478
2M,1e-06,0,6,"[20,50)",100,caml,0.0
2M,1e-06,0,6,"[20,50)",100,svdquartets,0.0
2M,1e-06,0,6,"[20,50)",50,astral,0.0
2M,1e-06,0,6,"[20,50)",50,astrid,0.0
2M,1e-06,0,6,"[20,50)",50,mpest,0.043478
2M,1e-06,0,6,"[20,50)",50,caml,0.0
2M,1e-06,0,6,"[20,50)",50,svdquartets,0.0
2M,1e-06,0,7,"[20,50)",1000,astral,0.0
2M,1e-06,0,7,"[20,50)",1000,astrid,0.0
2M,1e-06,0,7,"[20,50)",1000,mpest,0.0
2M,1e-06,0,7,"[20,50)",1000,caml,0.0
2M,1e-06,0,7,"[20,50)",1000,svdquartets,0.130435
2M,1e-06,0,7,"[20,50)",750,astral,0.0
2M,1e-06,0,7,"[20,50)",750,astrid,0.0
2M,1e-06,0,7,"[20,50)",750,mpest,0.0
2M,1e-06,0,7,"[20,50)",750,caml,0.0
2M,1e-06,0,7,"[20,50)",750,svdquartets,0.130435
2M,1e-06,0,7,"[20,50)",500,astral,0.0
2M,1e-06,0,7,"[20,50)",500,astrid,0.0
2M,1e-06,0,7,"[20,50)",500,mpest,0.0
2M,1e-06,0,7,"[20,50)",500,caml,0.0
2M,1e-06,0,7,"[20,50)",500,svdquartets,0.086957
2M,1e-06,0,7,"[20,50)",250,astral,0.0
2M,1e-06,0,7,"[20,50)",250,astrid,0.0
2M,1e-06,0,7,"[20,50)",250,mpest,0.0
2M,1e-06,0,7,"[20,50)",250,caml,0.086957
2M,1e-06,0,7,"[20,50)",250,svdquartets,0.086957
2M,1e-06,0,7,"[20,50)",100,astral,0.0
2M,1e-06,0,7,"[20,50)",100,astrid,0.043478
2M,1e-06,0,7,"[20,50)",100,mpest,0.043478
2M,1e-06,0,7,"[20,50)",100,caml,0.130435
2M,1e-06,0,7,"[20,50)",100,svdquartets,0.130435
2M,1e-06,0,7,"[20,50)",50,astral,0.043478
2M,1e-06,0,7,"[20,50)",50,astrid,0.043478
2M,1e-06,0,7,"[20,50)",50,mpest,0.086957
2M,1e-06,0,7,"[20,50)",50,caml,0.130435
2M,1e-06,0,7,"[20,50)",50,svdquartets,0.130435
2M,1e-06,0,8,"[20,50)",1000,astral,0.043478
2M,1e-06,0,8,"[20,50)",1000,astrid,0.0
2M,1e-06,0,8,"[20,50)",1000,mpest,0.0
2M,1e-06,0,8,"[20,50)",1000,caml,0.043478
2M,1e-06,0,8,"[20,50)",1000,svdquartets,0.086957
2M,1e-06,0,8,"[20,50)",750,astral,0.043478
2M,1e-06,0,8,"[20,50)",750,astrid,0.0
2M,1e-06,0,8,"[20,50)",750,mpest,0.043478
2M,1e-06,0,8,"[20,50)",750,caml,0.043478
2M,1e-06,0,8,"[20,50)",750,svdquartets,0.086957
2M,1e-06,0,8,"[20,50)",500,astral,0.043478
2M,1e-06,0,8,"[20,50)",500,astrid,0.043478
2M,1e-06,0,8,"[20,50)",500,mpest,0.043478
2M,1e-06,0,8,"[20,50)",500,caml,0.043478
2M,1e-06,0,8,"[20,50)",500,svdquartets,0.086957
2M,1e-06,0,8,"[20,50)",250,astral,0.043478
2M,1e-06,0,8,"[20,50)",250,astrid,0.043478
2M,1e-06,0,8,"[20,50)",250,mpest,0.043478
2M,1e-06,0,8,"[20,50)",250,caml,0.086957
2M,1e-06,0,8,"[20,50)",250,svdquartets,0.043478
2M,1e-06,0,8,"[20,50)",100,astral,0.043478
2M,1e-06,0,8,"[20,50)",100,astrid,0.043478
2M,1e-06,0,8,"[20,50)",100,mpest,0.043478
2M,1e-06,0,8,"[20,50)",100,caml,0.043478
2M,1e-06,0,8,"[20,50)",100,svdquartets,0.173913
2M,1e-06,0,8,"[20,50)",50,astral,0.086957
2M,1e-06,0,8,"[20,50)",50,astrid,0.086957
2M,1e-06,0,8,"[20,50)",50,mpest,0.086957
2M,1e-06,0,8,"[20,50)",50,caml,0.130435
2M,1e-06,0,8,"[20,50)",50,svdquartets,0.173913
2M,1e-06,0,9,"[20,50)",1000,astral,0.0
2M,1e-06,0,9,"[20,50)",1000,astrid,0.0
2M,1e-06,0,9,"[20,50)",1000,mpest,0.043478
2M,1e-06,0,9,"[20,50)",1000,caml,0.0
2M,1e-06,0,9,"[20,50)",1000,svdquartets,0.173913
2M,1e-06,0,9,"[20,50)",750,astral,0.0
2M,1e-06,0,9,"[20,50)",750,astrid,0.0
2M,1e-06,0,9,"[20,50)",750,mpest,0.0
2M,1e-06,0,9,"[20,50)",750,caml,0.0
2M,1e-06,0,9,"[20,50)",750,svdquartets,0.173913
2M,1e-06,0,9,"[20,50)",500,astral,0.0
2M,1e-06,0,9,"[20,50)",500,astrid,0.0
2M,1e-06,0,9,"[20,50)",500,mpest,0.0
2M,1e-06,0,9,"[20,50)",500,caml,0.0
2M,1e-06,0,9,"[20,50)",500,svdquartets,0.173913
2M,1e-06,0,9,"[20,50)",250,astral,0.0
2M,1e-06,0,9,"[20,50)",250,astrid,0.0
2M,1e-06,0,9,"[20,50)",250,mpest,0.0
2M,1e-06,0,9,"[20,50)",250,caml,0.0
2M,1e-06,0,9,"[20,50)",250,svdquartets,0.173913
2M,1e-06,0,9,"[20,50)",100,astral,0.043478
2M,1e-06,0,9,"[20,50)",100,astrid,0.0
2M,1e-06,0,9,"[20,50)",100,mpest,0.0
2M,1e-06,0,9,"[20,50)",100,caml,0.0
2M,1e-06,0,9,"[20,50)",100,svdquartets,0.217391
2M,1e-06,0,9,"[20,50)",50,astral,0.043478
2M,1e-06,0,9,"[20,50)",50,astrid,0.043478
2M,1e-06,0,9,"[20,50)",50,mpest,0.086957
2M,1e-06,0,9,"[20,50)",50,caml,0.086957
2M,1e-06,0,9,"[20,50)",50,svdquartets,0.217391
2M,1e-06,0,10,"[0,20)",1000,astral,0.0
2M,1e-06,0,10,"[0,20)",1000,astrid,0.0
2M,1e-06,0,10,"[0,20)",1000,mpest,0.043478
2M,1e-06,0,10,"[0,20)",1000,caml,0.0
2M,1e-06,0,10,"[0,20)",1000,svdquartets,0.043478
2M,1e-06,0,10,"[0,20)",750,astral,0.0
2M,1e-06,0,10,"[0,20)",750,astrid,0.0
2M,1e-06,0,10,"[0,20)",750,mpest,0.0
2M,1e-06,0,10,"[0,20)",750,caml,0.0
2M,1e-06,0,10,"[0,20)",750,svdquartets,0.043478
2M,1e-06,0,10,"[0,20)",500,astral,0.0
2M,1e-06,0,10,"[0,20)",500,astrid,0.043478
2M,1e-06,0,10,"[0,20)",500,mpest,0.043478
2M,1e-06,0,10,"[0,20)",500,caml,0.043478
2M,1e-06,0,10,"[0,20)",500,svdquartets,0.043478
2M,1e-06,0,10,"[0,20)",250,astral,0.043478
2M,1e-06,0,10,"[0,20)",250,astrid,0.043478
2M,1e-06,0,10,"[0,20)",250,mpest,0.043478
2M,1e-06,0,10,"[0,20)",250,caml,0.0
2M,1e-06,0,10,"[0,20)",250,svdquartets,0.043478
2M,1e-06,0,10,"[0,20)",100,astral,0.0
2M,1e-06,0,10,"[0,20)",100,astrid,0.0
2M,1e-06,0,10,"[0,20)",100,mpest,0.0
2M,1e-06,0,10,"[0,20)",100,caml,0.0
2M,1e-06,0,10,"[0,20)",100,svdquartets,0.0
2M,1e-06,0,10,"[0,20)",50,astral,0.0
2M,1e-06,0,10,"[0,20)",50,astrid,0.0
2M,1e-06,0,10,"[0,20)",50,mpest,0.043478
2M,1e-06,0,10,"[0,20)",50,caml,0.0
2M,1e-06,0,10,"[0,20)",50,svdquartets,0.043478
2M,1e-06,0,11,"[50,80)",1000,astral,0.130435
2M,1e-06,0,11,"[50,80)",1000,astrid,0.130435
2M,1e-06,0,11,"[50,80)",1000,mpest,0.130435
2M,1e-06,0,11,"[50,80)",1000,caml,0.086957
2M,1e-06,0,11,"[50,80)",1000,svdquartets,0.086957
2M,1e-06,0,11,"[50,80)",750,astral,0.130435
2M,1e-06,0,11,"[50,80)",750,astrid,0.130435
2M,1e-06,0,11,"[50,80)",750,mpest,0.130435
2M,1e-06,0,11,"[50,80)",750,caml,0.043478
2M,1e-06,0,11,"[50,80)",750,svdquartets,0.086957
2M,1e-06,0,11,"[50,80)",500,astral,0.130435
2M,1e-06,0,11,"[50,80)",500,astrid,0.130435
2M,1e-06,0,11,"[50,80)",500,mpest,0.130435
2M,1e-06,0,11,"[50,80)",500,caml,0.043478
2M,1e-06,0,11,"[50,80)",500,svdquartets,0.043478
2M,1e-06,0,11,"[50,80)",250,astral,0.086957
2M,1e-06,0,11,"[50,80)",250,astrid,0.130435
2M,1e-06,0,11,"[50,80)",250,mpest,0.086957
2M,1e-06,0,11,"[50,80)",250,caml,0.086957
2M,1e-06,0,11,"[50,80)",250,svdquartets,0.086957
2M,1e-06,0,11,"[50,80)",100,astral,0.130435
2M,1e-06,0,11,"[50,80)",100,astrid,0.130435
2M,1e-06,0,11,"[50,80)",100,mpest,0.130435
2M,1e-06,0,11,"[50,80)",100,caml,0.173913
2M,1e-06,0,11,"[50,80)",100,svdquartets,0.173913
2M,1e-06,0,11,"[50,80)",50,astral,0.173913
2M,1e-06,0,11,"[50,80)",50,astrid,0.173913
2M,1e-06,0,11,"[50,80)",50,mpest,0.173913
2M,1e-06,0,11,"[50,80)",50,caml,0.26087
2M,1e-06,0,11,"[50,80)",50,svdquartets,0.26087
2M,1e-06,0,12,"[20,50)",1000,astral,0.043478
2M,1e-06,0,12,"[20,50)",1000,astrid,0.043478
2M,1e-06,0,12,"[20,50)",1000,mpest,0.043478
2M,1e-06,0,12,"[20,50)",1000,caml,0.0
2M,1e-06,0,12,"[20,50)",1000,svdquartets,0.130435
2M,1e-06,0,12,"[20,50)",750,astral,0.043478
2M,1e-06,0,12,"[20,50)",750,astrid,0.043478
2M,1e-06,0,12,"[20,50)",750,mpest,0.043478
2M,1e-06,0,12,"[20,50)",750,caml,0.043478
2M,1e-06,0,12,"[20,50)",750,svdquartets,0.130435
2M,1e-06,0,12,"[20,50)",500,astral,0.043478
2M,1e-06,0,12,"[20,50)",500,astrid,0.043478
2M,1e-06,0,12,"[20,50)",500,mpest,0.043478
2M,1e-06,0,12,"[20,50)",500,caml,0.086957
2M,1e-06,0,12,"[20,50)",500,svdquartets,0.130435
2M,1e-06,0,12,"[20,50)",250,astral,0.043478
2M,1e-06,0,12,"[20,50)",250,astrid,0.0
2M,1e-06,0,12,"[20,50)",250,mpest,0.0
2M,1e-06,0,12,"[20,50)",250,caml,0.130435
2M,1e-06,0,12,"[20,50)",250,svdquartets,0.130435
2M,1e-06,0,12,"[20,50)",100,astral,0.130435
2M,1e-06,0,12,"[20,50)",100,astrid,0.0
2M,1e-06,0,12,"[20,50)",100,mpest,0.130435
2M,1e-06,0,12,"[20,50)",100,caml,0.130435
2M,1e-06,0,12,"[20,50)",100,svdquartets,0.130435
2M,1e-06,0,12,"[20,50)",50,astral,0.086957
2M,1e-06,0,12,"[20,50)",50,astrid,0.043478
2M,1e-06,0,12,"[20,50)",50,mpest,0.086957
2M,1e-06,0,12,"[20,50)",50,caml,0.130435
2M,1e-06,0,12,"[20,50)",50,svdquartets,0.173913
2M,1e-06,0,13,"[20,50)",1000,astral,0.043478
2M,1e-06,0,13,"[20,50)",1000,astrid,0.0
2M,1e-06,0,13,"[20,50)",1000,mpest,0.0
2M,1e-06,0,13,"[20,50)",1000,caml,0.043478
2M,1e-06,0,13,"[20,50)",1000,svdquartets,0.043478
2M,1e-06,0,13,"[20,50)",750,astral,0.043478
2M,1e-06,0,13,"[20,50)",750,astrid,0.0
2M,1e-06,0,13,"[20,50)",750,mpest,0.0
2M,1e-06,0,13,"[20,50)",750,caml,0.043478
2M,1e-06,0,13,"[20,50)",750,svdquartets,0.043478
2M,1e-06,0,13,"[20,50)",500,astral,0.0
2M,1e-06,0,13,"[20,50)",500,astrid,0.0
2M,1e-06,0,13,"[20,50)",500,mpest,0.0
2M,1e-06,0,13,"[20,50)",500,caml,0.0
2M,1e-06,0,13,"[20,50)",500,svdquartets,0.043478
2M,1e-06,0,13,"[20,50)",250,astral,0.0
2M,1e-06,0,13,"[20,50)",250,astrid,0.0
2M,1e-06,0,13,"[20,50)",250,mpest,0.0
2M,1e-06,0,13,"[20,50)",250,caml,0.0
2M,1e-06,0,13,"[20,50)",250,svdquartets,0.043478
2M,1e-06,0,13,"[20,50)",100,astral,0.130435
2M,1e-06,0,13,"[20,50)",100,astrid,0.086957
2M,1e-06,0,13,"[20,50)",100,mpest,0.130435
2M,1e-06,0,13,"[20,50)",100,caml,0.043478
2M,1e-06,0,13,"[20,50)",100,svdquartets,0.086957
2M,1e-06,0,13,"[20,50)",50,astral,0.130435
2M,1e-06,0,13,"[20,50)",50,astrid,0.130435
2M,1e-06,0,13,"[20,50)",50,mpest,0.130435
2M,1e-06,0,13,"[20,50)",50,caml,0.130435
2M,1e-06,0,13,"[20,50)",50,svdquartets,0.130435
2M,1e-06,0,14,"[0,20)",1000,astral,0.0
2M,1e-06,0,14,"[0,20)",1000,astrid,0.0
2M,1e-06,0,14,"[0,20)",1000,mpest,0.0
2M,1e-06,0,14,"[0,20)",1000,caml,0.0
2M,1e-06,0,14,"[0,20)",1000,svdquartets,0.043478
2M,1e-06,0,14,"[0,20)",750,astral,0.043478
2M,1e-06,0,14,"[0,20)",750,astrid,0.043478
2M,1e-06,0,14,"[0,20)",750,mpest,0.043478
2M,1e-06,0,14,"[0,20)",750,caml,0.043478
2M,1e-06,0,14,"[0,20)",750,svdquartets,0.043478
2M,1e-06,0,14,"[0,20)",500,astral,0.043478
2M,1e-06,0,14,"[0,20)",500,astrid,0.043478
2M,1e-06,0,14,"[0,20)",500,mpest,0.043478
2M,1e-06,0,14,"[0,20)",500,caml,0.043478
2M,1e-06,0,14,"[0,20)",500,svdquartets,0.043478
2M,1e-06,0,14,"[0,20)",250,astral,0.043478
2M,1e-06,0,14,"[0,20)",250,astrid,0.043478
2M,1e-06,0,14,"[0,20)",250,mpest,0.043478
2M,1e-06,0,14,"[0,20)",250,caml,0.043478
2M,1e-06,0,14,"[0,20)",250,svdquartets,0.086957
2M,1e-06,0,14,"[0,20)",100,astral,0.0
2M,1e-06,0,14,"[0,20)",100,astrid,0.0
2M,1e-06,0,14,"[0,20)",100,mpest,0.0
2M,1e-06,0,14,"[0,20)",100,caml,0.043478
2M,1e-06,0,14,"[0,20)",100,svdquartets,0.086957
2M,1e-06,0,14,"[0,20)",50,astral,0.043478
2M,1e-06,0,14,"[0,20)",50,astrid,0.043478
2M,1e-06,0,14,"[0,20)",50,mpest,0.086957
2M,1e-06,0,14,"[0,20)",50,caml,0.086957
2M,1e-06,0,14,"[0,20)",50,svdquartets,0.130435
2M,1e-06,0,15,"[20,50)",1000,astral,0.0
2M,1e-06,0,15,"[20,50)",1000,astrid,0.0
2M,1e-06,0,15,"[20,50)",1000,mpest,0.0
2M,1e-06,0,15,"[20,50)",1000,caml,0.0
2M,1e-06,0,15,"[20,50)",1000,svdquartets,0.043478
2M,1e-06,0,15,"[20,50)",750,astral,0.043478
2M,1e-06,0,15,"[20,50)",750,astrid,0.0
2M,1e-06,0,15,"[20,50)",750,mpest,0.0
2M,1e-06,0,15,"[20,50)",750,caml,0.0
2M,1e-06,0,15,"[20,50)",750,svdquartets,0.043478
2M,1e-06,0,15,"[20,50)",500,astral,0.043478
2M,1e-06,0,15,"[20,50)",500,astrid,0.0
2M,1e-06,0,15,"[20,50)",500,mpest,0.0
2M,1e-06,0,15,"[20,50)",500,caml,0.0
2M,1e-06,0,15,"[20,50)",500,svdquartets,0.043478
2M,1e-06,0,15,"[20,50)",250,astral,0.043478
2M,1e-06,0,15,"[20,50)",250,astrid,0.0
2M,1e-06,0,15,"[20,50)",250,mpest,0.0
2M,1e-06,0,15,"[20,50)",250,caml,0.0
2M,1e-06,0,15,"[20,50)",250,svdquartets,0.130435
2M,1e-06,0,15,"[20,50)",100,astral,0.086957
2M,1e-06,0,15,"[20,50)",100,astrid,0.0
2M,1e-06,0,15,"[20,50)",100,mpest,0.043478
2M,1e-06,0,15,"[20,50)",100,caml,0.0
2M,1e-06,0,15,"[20,50)",100,svdquartets,0.130435
2M,1e-06,0,15,"[20,50)",50,astral,0.043478
2M,1e-06,0,15,"[20,50)",50,astrid,0.0
2M,1e-06,0,15,"[20,50)",50,mpest,0.043478
2M,1e-06,0,15,"[20,50)",50,caml,0.043478
2M,1e-06,0,15,"[20,50)",50,svdquartets,0.086957
2M,1e-06,0,16,"[20,50)",1000,astral,0.0
2M,1e-06,0,16,"[20,50)",1000,astrid,0.0
2M,1e-06,0,16,"[20,50)",1000,mpest,0.043478
2M,1e-06,0,16,"[20,50)",1000,caml,0.043478
2M,1e-06,0,16,"[20,50)",1000,svdquartets,0.086957
2M,1e-06,0,16,"[20,50)",750,astral,0.0
2M,1e-06,0,16,"[20,50)",750,astrid,0.0
2M,1e-06,0,16,"[20,50)",750,mpest,0.0
2M,1e-06,0,16,"[20,50)",750,caml,0.043478
2M,1e-06,0,16,"[20,50)",750,svdquartets,0.086957
2M,1e-06,0,16,"[20,50)",500,astral,0.043478
2M,1e-06,0,16,"[20,50)",500,astrid,0.043478
2M,1e-06,0,16,"[20,50)",500,mpest,0.043478
2M,1e-06,0,16,"[20,50)",500,caml,0.086957
2M,1e-06,0,16,"[20,50)",500,svdquartets,0.086957
2M,1e-06,0,16,"[20,50)",250,astral,0.043478
2M,1e-06,0,16,"[20,50)",250,astrid,0.043478
2M,1e-06,0,16,"[20,50)",250,mpest,0.0
2M,1e-06,0,16,"[20,50)",250,caml,0.043478
2M,1e-06,0,16,"[20,50)",250,svdquartets,0.086957
2M,1e-06,0,16,"[20,50)",100,astral,0.0
2M,1e-06,0,16,"[20,50)",100,astrid,0.0
2M,1e-06,0,16,"[20,50)",100,mpest,0.0
2M,1e-06,0,16,"[20,50)",100,caml,0.043478
2M,1e-06,0,16,"[20,50)",100,svdquartets,0.086957
2M,1e-06,0,16,"[20,50)",50,astral,0.0
2M,1e-06,0,16,"[20,50)",50,astrid,0.0
2M,1e-06,0,16,"[20,50)",50,mpest,0.0
2M,1e-06,0,16,"[20,50)",50,caml,0.043478
2M,1e-06,0,16,"[20,50)",50,svdquartets,0.086957
2M,1e-06,0,17,"[20,50)",1000,astral,0.0
2M,1e-06,0,17,"[20,50)",1000,astrid,0.0
2M,1e-06,0,17,"[20,50)",1000,mpest,0.0
2M,1e-06,0,17,"[20,50)",1000,caml,0.0
2M,1e-06,0,17,"[20,50)",1000,svdquartets,0.0
2M,1e-06,0,17,"[20,50)",750,astral,0.0
2M,1e-06,0,17,"[20,50)",750,astrid,0.0
2M,1e-06,0,17,"[20,50)",750,mpest,0.043478
2M,1e-06,0,17,"[20,50)",750,caml,0.0
2M,1e-06,0,17,"[20,50)",750,svdquartets,0.0
2M,1e-06,0,17,"[20,50)",500,astral,0.0
2M,1e-06,0,17,"[20,50)",500,astrid,0.0
2M,1e-06,0,17,"[20,50)",500,mpest,0.043478
2M,1e-06,0,17,"[20,50)",500,caml,0.0
2M,1e-06,0,17,"[20,50)",500,svdquartets,0.043478
2M,1e-06,0,17,"[20,50)",250,astral,0.0
2M,1e-06,0,17,"[20,50)",250,astrid,0.0
2M,1e-06,0,17,"[20,50)",250,mpest,0.0
2M,1e-06,0,17,"[20,50)",250,caml,0.0
2M,1e-06,0,17,"[20,50)",250,svdquartets,0.0
2M,1e-06,0,17,"[20,50)",100,astral,0.0
2M,1e-06,0,17,"[20,50)",100,astrid,0.0
2M,1e-06,0,17,"[20,50)",100,mpest,0.0
2M,1e-06,0,17,"[20,50)",100,caml,0.0
2M,1e-06,0,17,"[20,50)",100,svdquartets,0.0
2M,1e-06,0,17,"[20,50)",50,astral,0.043478
2M,1e-06,0,17,"[20,50)",50,astrid,0.043478
2M,1e-06,0,17,"[20,50)",50,mpest,0.043478
2M,1e-06,0,17,"[20,50)",50,caml,0.043478
2M,1e-06,0,17,"[20,50)",50,svdquartets,0.043478
2M,1e-06,0,18,"[20,50)",1000,astral,0.043478
2M,1e-06,0,18,"[20,50)",1000,astrid,0.0
2M,1e-06,0,18,"[20,50)",1000,mpest,0.0
2M,1e-06,0,18,"[20,50)",1000,caml,0.0
2M,1e-06,0,18,"[20,50)",1000,svdquartets,0.0
2M,1e-06,0,18,"[20,50)",750,astral,0.043478
2M,1e-06,0,18,"[20,50)",750,astrid,0.0
2M,1e-06,0,18,"[20,50)",750,mpest,0.0
2M,1e-06,0,18,"[20,50)",750,caml,0.043478
2M,1e-06,0,18,"[20,50)",750,svdquartets,0.043478
2M,1e-06,0,18,"[20,50)",500,astral,0.043478
2M,1e-06,0,18,"[20,50)",500,astrid,0.0
2M,1e-06,0,18,"[20,50)",500,mpest,0.0
2M,1e-06,0,18,"[20,50)",500,caml,0.043478
2M,1e-06,0,18,"[20,50)",500,svdquartets,0.043478
2M,1e-06,0,18,"[20,50)",250,astral,0.043478
2M,1e-06,0,18,"[20,50)",250,astrid,0.0
2M,1e-06,0,18,"[20,50)",250,mpest,0.043478
2M,1e-06,0,18,"[20,50)",250,caml,0.043478
2M,1e-06,0,18,"[20,50)",250,svdquartets,0.0
2M,1e-06,0,18,"[20,50)",100,astral,0.0
2M,1e-06,0,18,"[20,50)",100,astrid,0.0
2M,1e-06,0,18,"[20,50)",100,mpest,0.043478
2M,1e-06,0,18,"[20,50)",100,caml,0.043478
2M,1e-06,0,18,"[20,50)",100,svdquartets,0.086957
2M,1e-06,0,18,"[20,50)",50,astral,0.043478
2M,1e-06,0,18,"[20,50)",50,astrid,0.043478
2M,1e-06,0,18,"[20,50)",50,mpest,0.086957
2M,1e-06,0,18,"[20,50)",50,caml,0.086957
2M,1e-06,0,18,"[20,50)",50,svdquartets,0.043478
2M,1e-06,0,19,"[20,50)",1000,astral,0.0
2M,1e-06,0,19,"[20,50)",1000,astrid,0.0
2M,1e-06,0,19,"[20,50)",1000,mpest,0.0
2M,1e-06,0,19,"[20,50)",1000,caml,0.0
2M,1e-06,0,19,"[20,50)",1000,svdquartets,0.043478
2M,1e-06,0,19,"[20,50)",750,astral,0.0
2M,1e-06,0,19,"[20,50)",750,astrid,0.0
2M,1e-06,0,19,"[20,50)",750,mpest,0.0
2M,1e-06,0,19,"[20,50)",750,caml,0.0
2M,1e-06,0,19,"[20,50)",750,svdquartets,0.086957
2M,1e-06,0,19,"[20,50)",500,astral,0.0
2M,1e-06,0,19,"[20,50)",500,astrid,0.0
2M,1e-06,0,19,"[20,50)",500,mpest,0.0
2M,1e-06,0,19,"[20,50)",500,caml,0.0
2M,1e-06,0,19,"[20,50)",500,svdquartets,0.043478
2M,1e-06,0,19,"[20,50)",250,astral,0.0
2M,1e-06,0,19,"[20,50)",250,astrid,0.0
2M,1e-06,0,19,"[20,50)",250,mpest,0.0
2M,1e-06,0,19,"[20,50)",250,caml,0.0
2M,1e-06,0,19,"[20,50)",250,svdquartets,0.043478
2M,1e-06,0,19,"[20,50)",100,astral,0.043478
2M,1e-06,0,19,"[20,50)",100,astrid,0.043478
2M,1e-06,0,19,"[20,50)",100,mpest,0.043478
2M,1e-06,0,19,"[20,50)",100,caml,0.130435
2M,1e-06,0,19,"[20,50)",100,svdquartets,0.086957
2M,1e-06,0,19,"[20,50)",50,astral,0.086957
2M,1e-06,0,19,"[20,50)",50,astrid,0.043478
2M,1e-06,0,19,"[20,50)",50,mpest,0.086957
2M,1e-06,0,19,"[20,50)",50,caml,0.173913
2M,1e-06,0,19,"[20,50)",50,svdquartets,0.130435
2M,1e-06,0,20,"[20,50)",1000,astral,0.0
2M,1e-06,0,20,"[20,50)",1000,astrid,0.0
2M,1e-06,0,20,"[20,50)",1000,mpest,0.043478
2M,1e-06,0,20,"[20,50)",1000,caml,0.0
2M,1e-06,0,20,"[20,50)",1000,svdquartets,0.086957
2M,1e-06,0,20,"[20,50)",750,astral,0.0
2M,1e-06,0,20,"[20,50)",750,astrid,0.0
2M,1e-06,0,20,"[20,50)",750,mpest,0.043478
2M,1e-06,0,20,"[20,50)",750,caml,0.0
2M,1e-06,0,20,"[20,50)",750,svdquartets,0.086957
2M,1e-06,0,20,"[20,50)",500,astral,0.043478
2M,1e-06,0,20,"[20,50)",500,astrid,0.0
2M,1e-06,0,20,"[20,50)",500,mpest,0.043478
2M,1e-06,0,20,"[20,50)",500,caml,0.086957
2M,1e-06,0,20,"[20,50)",500,svdquartets,0.086957
2M,1e-06,0,20,"[20,50)",250,astral,0.043478
2M,1e-06,0,20,"[20,50)",250,astrid,0.043478
2M,1e-06,0,20,"[20,50)",250,mpest,0.043478
2M,1e-06,0,20,"[20,50)",250,caml,0.043478
2M,1e-06,0,20,"[20,50)",250,svdquartets,0.043478
2M,1e-06,0,20,"[20,50)",100,astral,0.086957
2M,1e-06,0,20,"[20,50)",100,astrid,0.086957
2M,1e-06,0,20,"[20,50)",100,mpest,0.086957
2M,1e-06,0,20,"[20,50)",100,caml,0.086957
2M,1e-06,0,20,"[20,50)",100,svdquartets,0.130435
2M,1e-06,0,20,"[20,50)",50,astral,0.173913
2M,1e-06,0,20,"[20,50)",50,astrid,0.130435
2M,1e-06,0,20,"[20,50)",50,mpest,0.130435
2M,1e-06,0,20,"[20,50)",50,caml,0.217391
2M,1e-06,0,20,"[20,50)",50,svdquartets,0.173913
2M,1e-07,0,1,"[20,50)",1000,astral,0.043478
2M,1e-07,0,1,"[20,50)",1000,astrid,0.0
2M,1e-07,0,1,"[20,50)",1000,mpest,0.043478
2M,1e-07,0,1,"[20,50)",1000,caml,0.130435
2M,1e-07,0,1,"[20,50)",1000,svdquartets,0.086957
2M,1e-07,0,1,"[20,50)",750,astral,0.043478
2M,1e-07,0,1,"[20,50)",750,astrid,0.0
2M,1e-07,0,1,"[20,50)",750,mpest,0.0
2M,1e-07,0,1,"[20,50)",750,caml,0.130435
2M,1e-07,0,1,"[20,50)",750,svdquartets,0.173913
2M,1e-07,0,1,"[20,50)",500,astral,0.086957
2M,1e-07,0,1,"[20,50)",500,astrid,0.086957
2M,1e-07,0,1,"[20,50)",500,mpest,0.086957
2M,1e-07,0,1,"[20,50)",500,caml,0.130435
2M,1e-07,0,1,"[20,50)",500,svdquartets,0.173913
2M,1e-07,0,1,"[20,50)",250,astral,0.043478
2M,1e-07,0,1,"[20,50)",250,astrid,0.043478
2M,1e-07,0,1,"[20,50)",250,mpest,0.043478
2M,1e-07,0,1,"[20,50)",250,caml,0.130435
2M,1e-07,0,1,"[20,50)",250,svdquartets,0.173913
2M,1e-07,0,1,"[20,50)",100,astral,0.086957
2M,1e-07,0,1,"[20,50)",100,astrid,0.043478
